Cycle,Time_min,Temperature_C,Humidity_pct,Product_Weight_kg,Weight_Loss_kg,Moisure_Loss_kg,Moisure_Weight,Moisre_Loss_kg,Drying_Rate_kg_per_min,Moisture_Loss_Percentage
0,0,53,16,1.7,0.34999999999999987,0.34999999999999987,1.3900000000000001,0.34999999999999987,,20.114942528735625
1,30,53,17,1.7,0.34999999999999987,0.34999999999999987,1.3900000000000001,0.34999999999999987,0.0,20.114942528735625
2,60,54,16,1.7,0.34999999999999987,0.34999999999999987,1.3900000000000001,0.34999999999999987,0.0,20.114942528735625
3,90,53,16,1.55,0.4999999999999998,0.4999999999999998,1.2400000000000002,0.4999999999999998,0.004999999999999997,28.735632183908034
4,120,54,16,1.55,0.4999999999999998,0.4999999999999998,1.2400000000000002,0.4999999999999998,0.0,28.735632183908034
5,150,55,17,1.25,0.7999999999999998,0.7999999999999998,0.9400000000000002,0.7999999999999998,0.010000000000000002,45.977011494252864
6,180,54,15,1.2,0.8499999999999999,0.8499999999999999,0.8900000000000001,0.8499999999999999,0.001666666666666668,48.85057471264367
7,210,54,16,1.15,0.8999999999999999,0.8999999999999999,0.8400000000000001,0.8999999999999999,0.001666666666666668,51.72413793103448
8,240,54,14,1.05,0.9999999999999998,0.9999999999999998,0.7400000000000002,0.9999999999999998,0.0033333333333333288,57.471264367816076
9,270,55,15,0.9,1.15,1.15,0.5900000000000001,1.15,0.0050000000000000044,66.0919540229885
10,300,54,15,0.85,1.1999999999999997,1.1999999999999997,0.5400000000000003,1.1999999999999997,0.0016666666666666607,68.96551724137929
11,330,54,17,0.8,1.2499999999999998,1.2499999999999998,0.4900000000000002,1.2499999999999998,0.001666666666666668,71.8390804597701
12,360,55,15,0.7,1.3499999999999999,1.3499999999999999,0.3900000000000001,1.3499999999999999,0.003333333333333336,77.58620689655172
13,390,54,15,0.7,1.3499999999999999,1.3499999999999999,0.3900000000000001,1.3499999999999999,0.0,77.58620689655172
14,420,55,14,0.65,1.4,1.4,0.3400000000000001,1.4,0.001666666666666668,80.45977011494251
15,450,54,15,0.6,1.4499999999999997,1.4499999999999997,0.29000000000000026,1.4499999999999997,0.0016666666666666607,83.33333333333331
16,480,54,16,0.6,1.4499999999999997,1.4499999999999997,0.29000000000000026,1.4499999999999997,0.0,83.33333333333331
17,510,54,15,0.55,1.4999999999999998,1.4999999999999998,0.2400000000000002,1.4999999999999998,0.001666666666666668,86.20689655172413
18,540,54,14,0.5,1.5499999999999998,1.5499999999999998,0.19000000000000017,1.5499999999999998,0.001666666666666668,89.08045977011493
19,570,54,14,0.5,1.5499999999999998,1.5499999999999998,0.19000000000000017,1.5499999999999998,0.0,89.08045977011493
